2017-11-21 16:34:45,243 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: wuliu:wuliu:1.0-SNAPSHOT @ F:\Git\firstgit\wuliu2\pom.xml.
2017-11-21 16:35:07,789 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-21 16:35:07,827 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 17 resources
2017-11-21 16:35:08,105 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-21 16:35:08,107 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Git\firstgit\wuliu2\src\test\resources
2017-11-21 16:36:50,574 [main] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: wuliu:wuliu:1.0-SNAPSHOT @ F:\Git\firstgit\wuliu2\pom.xml.
2017-11-21 16:39:40,835 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: wuliu:wuliu:1.0-SNAPSHOT @ F:\Git\firstgit\wuliu2\pom.xml.
2017-11-21 16:39:46,919 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-21 16:39:46,924 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 17 resources
2017-11-21 16:39:47,033 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-21 16:39:47,043 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Git\firstgit\wuliu2\src\test\resources
2017-11-21 16:43:06,892 [Worker-12] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' F:\WorkSpace\wuliu\wuliu\pom.xml
2017-11-21 16:43:09,603 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: lch:wuliu:0.0.1-SNAPSHOT @ F:\WorkSpace\wuliu\wuliu\pom.xml.
2017-11-21 16:43:11,185 [Worker-12] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /wuliu/src/main/java
2017-11-21 16:43:11,186 [Worker-12] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /wuliu/src/main/resources
2017-11-21 16:43:11,187 [Worker-12] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /wuliu/src/test/java
2017-11-21 16:43:14,650 [Worker-12] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 7 sec
2017-11-21 16:43:15,265 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
